device: NVIDIA A100 80GB PCIe
num_elems: 1048576
iters: 128
repeats: 5
sm_count: 108
max_threads_per_sm: 2048
warp_size: 32
variant block_size regs_per_thread local_bytes_per_thread extra_smem_bytes total_smem_bytes active_blocks_per_sm theoretical_occupancy kernel_ms max_abs_error check
low_regs 64 16 0 0 256 32 1.000 0.290 0.000 PASS
low_regs 64 16 0 4096 4352 31 0.969 0.292 0.000 PASS
low_regs 64 16 0 8192 8448 17 0.531 0.293 0.000 PASS
low_regs 64 16 0 16384 16640 9 0.281 0.326 0.000 PASS
low_regs 64 16 0 32768 33024 4 0.125 0.573 0.000 PASS
low_regs 128 16 0 0 512 16 1.000 0.289 0.000 PASS
low_regs 128 16 0 4096 4608 16 1.000 0.289 0.000 PASS
low_regs 128 16 0 8192 8704 16 1.000 0.289 0.000 PASS
low_regs 128 16 0 16384 16896 9 0.562 0.290 0.000 PASS
low_regs 128 16 0 32768 33280 4 0.250 0.345 0.000 PASS
low_regs 256 16 0 0 1024 8 1.000 0.288 0.000 PASS
low_regs 256 16 0 4096 5120 8 1.000 0.288 0.000 PASS
low_regs 256 16 0 8192 9216 8 1.000 0.288 0.000 PASS
low_regs 256 16 0 16384 17408 8 1.000 0.288 0.000 PASS
low_regs 256 16 0 32768 33792 4 0.500 0.289 0.000 PASS
low_regs 512 16 0 0 2048 4 1.000 0.286 0.000 PASS
low_regs 512 16 0 4096 6144 4 1.000 0.286 0.000 PASS
low_regs 512 16 0 8192 10240 4 1.000 0.286 0.000 PASS
low_regs 512 16 0 16384 18432 4 1.000 0.286 0.000 PASS
low_regs 512 16 0 32768 34816 4 1.000 0.286 0.000 PASS
mid_regs 64 44 0 0 256 20 0.625 1.883 0.000 PASS
mid_regs 64 44 0 4096 4352 20 0.625 1.865 0.000 PASS
mid_regs 64 44 0 8192 8448 17 0.531 1.886 0.000 PASS
mid_regs 64 44 0 16384 16640 9 0.281 1.889 0.000 PASS
mid_regs 64 44 0 32768 33024 4 0.125 2.160 0.000 PASS
mid_regs 128 44 0 0 512 10 0.625 1.880 0.000 PASS
mid_regs 128 44 0 4096 4608 10 0.625 1.880 0.000 PASS
mid_regs 128 44 0 8192 8704 10 0.625 1.880 0.000 PASS
mid_regs 128 44 0 16384 16896 9 0.562 1.880 0.000 PASS
mid_regs 128 44 0 32768 33280 4 0.250 1.895 0.000 PASS
mid_regs 256 44 0 0 1024 5 0.625 1.866 0.000 PASS
mid_regs 256 44 0 4096 5120 5 0.625 1.866 0.000 PASS
mid_regs 256 44 0 8192 9216 5 0.625 1.854 0.000 PASS
mid_regs 256 44 0 16384 17408 5 0.625 1.848 0.000 PASS
mid_regs 256 44 0 32768 33792 4 0.500 1.848 0.000 PASS
mid_regs 512 44 0 0 2048 2 0.500 1.840 0.000 PASS
mid_regs 512 44 0 4096 6144 2 0.500 1.840 0.000 PASS
mid_regs 512 44 0 8192 10240 2 0.500 1.840 0.000 PASS
mid_regs 512 44 0 16384 18432 2 0.500 1.839 0.000 PASS
mid_regs 512 44 0 32768 34816 2 0.500 1.840 0.000 PASS
